           9       3
50   1.2925464e-24   8.0268783e-49
100   1.0697217e-24   7.3041773e-49
200   9.7119024e-25   7.6370170e-49
300   7.8377266e-25   5.5553599e-49
500   1.2452912e-24   1.5585271e-48
1000   1.9307704e-24   4.0867807e-48
2000   2.8405923e-24   9.2037595e-48
3000   3.6461273e-24   1.5323510e-47
5000   4.5549369e-24   2.4068074e-47
