           9       3
50   1.8987777e-24   5.1407507e-49
100   2.5680525e-24   1.2492844e-48
200   2.5169004e-24   1.5221977e-48
300   1.7549489e-24   8.2657979e-49
500   3.5539744e-24   3.7672548e-48
1000   4.5231519e-24   6.6561987e-48
2000   5.6200378e-24   1.0691775e-47
3000   5.8841341e-24   1.1843596e-47
5000   8.3890347e-24   2.4228384e-47
