           9       3
50   6.3196012e-25   5.7330281e-50
100   8.2657808e-25   1.3030099e-49
200   3.2743847e-24   2.5937304e-48
300   4.3602032e-24   5.1368362e-48
500   4.9860036e-24   7.4649691e-48
1000   7.5256201e-24   1.8550471e-47
2000   9.1924847e-24   2.8798083e-47
3000   9.9340224e-24   3.3985617e-47
5000   9.1258307e-24   2.8865011e-47
