           9       3
50   3.5859224e-24   1.2047450e-48
100   1.2361822e-24   1.9021009e-49
200   1.6732864e-24   4.4207364e-49
300   2.8172230e-24   1.3996303e-48
500   3.5241643e-24   2.4340178e-48
1000   6.1669028e-24   8.1300498e-48
2000   6.2946589e-24   8.8131424e-48
3000   5.3688225e-24   6.4787560e-48
5000   4.8547071e-24   5.3314040e-48
