           9       3
50   1.5909433e-24   6.6806813e-49
100   1.1469296e-24   4.6127520e-49
200   1.3326945e-24   7.9001119e-49
300   1.3585128e-24   9.1688813e-49
500   2.1244481e-24   2.4918489e-48
1000   4.0806186e-24   1.0028338e-47
2000   4.6659615e-24   1.3642271e-47
3000   4.7482827e-24   1.4276595e-47
5000   6.5503398e-24   2.7343944e-47
