           9       3
50      0.86197399      0.13073997
100      0.97077409      0.22030870
200       1.2109338      0.43483205
300       1.0521986      0.36668492
500       1.6975206       1.0606407
1000       2.0983942       1.7679088
2000       2.0829191       1.8124161
3000       1.3339605      0.75118372
5000       2.1863122       2.0307974
