           9       3
50   3.7308134e-25   7.9922998e-50
100   4.5827918e-25   1.6021390e-49
200   8.8646378e-25   7.6040928e-49
300   1.2643235e-24   1.7276617e-48
500   1.4384255e-24   2.4851786e-48
1000   2.1543801e-24   6.0810003e-48
2000   2.8356146e-24   1.0961050e-47
3000   3.8777011e-24   2.0713503e-47
5000   5.2362514e-24   3.8012627e-47
