           9       3
50       1.8359018      0.48269932
100       2.1737994      0.89906678
200       2.1715690       1.1381141
300       3.0524377       2.5115914
500       4.3435261       5.6517218
1000       5.0367497       8.2898028
2000       6.5645221       14.651331
3000       6.5831975       14.889899
5000       5.5545732       10.668451
