           9       3
50     0.028901142   0.00017864858
100     0.026964846   0.00020660493
200     0.044825277   0.00072422952
300     0.047431554   0.00090569467
500     0.065575490    0.0019238480
1000     0.085421519    0.0035609820
2000     0.092206325    0.0043170195
3000      0.11612510    0.0069192967
5000      0.13596496    0.0095465339
