           9       3
50      0.19446624    0.0040441568
100      0.19043157    0.0051521997
200      0.35297118     0.022453227
300      0.55056151     0.061013902
500      0.52270982     0.061119387
1000      0.86796662      0.18382783
2000      0.61804578     0.096978146
3000      0.67983539      0.11857340
5000       1.1550995      0.34450897
