           9       3
50   1.0202586e-24   1.7594553e-49
100   5.0829346e-25   5.8017892e-50
200   9.3354519e-25   2.4824990e-49
300   8.1502265e-25   2.1133654e-49
500   5.9098418e-25   1.2348878e-49
1000   6.6784009e-25   1.7201579e-49
2000   2.2555579e-24   2.0415438e-48
3000   1.0429671e-24   4.4110205e-49
5000   7.9074856e-25   2.5518591e-49
